filetype,size,duration,bitrate
video/avi,581614052,3300160,1405020
video/avi,581614052,3300160,1405020
video/avi,574618082,3300080,1388098
video/avi,574618082,3300080,1388098
video/avi,514577558,3000000,1367323
video/avi,514577558,3000000,1367323
video/avi,563033080,3300080,1360021
video/avi,563033080,3300080,1360021
video/avi,561869152,3299880,1357251
video/avi,561869152,3299880,1357251
video/avi,561117306,3300080,1355360
video/avi,561117306,3300080,1355360
video/avi,492871626,3000040,1309408
video/avi,492871626,3000040,1309408
video/avi,485159770,3000040,1288857
video/avi,485159770,3000040,1288857
video/avi,479625000,3000040,1274099
video/avi,479625000,3000040,1274099
video/avi,476267458,3000120,1265117
video/avi,476267458,3000120,1265117
video/avi,475182394,3000120,1262234
video/avi,475182394,3000120,1262234
video/avi,511646432,3300080,1235441
video/avi,511646432,3300080,1235441
video/avi,464670586,2999920,1234266
video/avi,464670586,2999920,1234266
video/avi,460111430,3000000,1222079
video/avi,460111430,3000000,1222079
video/avi,457548694,3000040,1215225
video/avi,457548694,3000040,1215225
video/avi,502697406,3300440,1213598
video/avi,502697406,3300440,1213598
video/avi,452174474,3000080,1200905
video/avi,452174474,3000080,1200905
video/avi,451961236,3000160,1200280
video/avi,451961236,3000160,1200280
video/avi,449479972,3000000,1193731
video/avi,449479972,3000000,1193731
video/avi,479119326,3300080,1156585
video/avi,479119326,3300080,1156585
video/avi,472516592,3300040,1140592
video/avi,472516592,3300040,1140592
video/avi,427716260,2999800,1135801
video/avi,427716260,2999800,1135801
video/avi,468286098,3300080,1130318
video/avi,468286098,3300080,1130318
video/avi,423827102,3000000,1125319
video/avi,423827102,3000000,1125319
video/avi,412127590,3000040,1094104
video/avi,412127590,3000040,1094104
video/avi,411434904,3000080,1092244
video/avi,411434904,3000080,1092244
video/avi,409363350,3000080,1086725
video/avi,409363350,3000080,1086725
video/avi,406999724,3000040,1080436
video/avi,406999724,3000040,1080436
video/avi,446802666,3300000,1078263
video/avi,446802666,3300000,1078263
video/avi,405573172,3000080,1076609
video/avi,405573172,3000080,1076609
video/avi,445531524,3300120,1075148
video/avi,445531524,3300120,1075148
video/avi,402680978,2999880,1068978
video/avi,402680978,2999880,1068978
video/avi,393474000,3000080,1044353
video/avi,393474000,3000080,1044353
video/avi,703770492,5400600,1037614
video/avi,703770492,5400600,1037614
video/avi,894465190,6900040,1032160
video/avi,384156316,3000040,1019528
video/avi,384156316,3000040,1019528
video/avi,382748792,3000040,1015767
video/avi,382748792,3000040,1015767
video/avi,420528994,3300120,1014538
video/avi,420528994,3300120,1014538
video/avi,372992744,3000160,989700
video/avi,372992744,3000160,989700
video/avi,372198764,3000040,987634
video/avi,372198764,3000040,987634
video/avi,406475528,3300000,980494
video/avi,406475528,3300000,980494
video/avi,406232610,3300040,979902
video/avi,406232610,3300040,979902
video/avi,402591674,3299920,971112
video/avi,402591674,3299920,971112
video/avi,365543636,3000080,969868
video/avi,365543636,3000080,969868
video/avi,435279560,3579520,967932
video/avi,398548278,3300040,961278
video/avi,398548278,3300040,961278
video/avi,395867656,3299880,954831
video/avi,395867656,3299880,954831
video/avi,393710756,3300120,949527
video/avi,393710756,3300120,949527
video/avi,392291596,3300120,946085
video/avi,392291596,3300120,946085
video/avi,354488786,2999200,940683
video/avi,354488786,2999200,940683
video/avi,348194022,3000000,923627
video/avi,348194022,3000000,923627
video/avi,380668934,3300160,917901
video/avi,380668934,3300160,917901
video/avi,333397260,3000040,884184
video/avi,333397260,3000040,884184
video/avi,360222518,3300080,868354
video/avi,360222518,3300080,868354
video/avi,313494294,3000040,831083
video/avi,313494294,3000040,831083
video/avi,341901850,3300040,823938
video/avi,341901850,3300040,823938
video/avi,338824296,3300000,816486
video/avi,338824296,3300000,816486
video/avi,332901296,3300000,802149
video/avi,332901296,3300000,802149
video/avi,299997074,2999840,795150
video/avi,299997074,2999840,795150
video/avi,327578646,3300240,789188
video/avi,327578646,3300240,789188
video/avi,505216944,5100560,787482
video/avi,297125086,3000040,787431
video/avi,297125086,3000040,787431
video/avi,321569378,3300000,774650
video/avi,321569378,3300000,774650
video/avi,287358594,3000160,761362
video/avi,287358594,3000160,761362
video/avi,976468792,10200120,760951
video/avi,976468792,10200120,760951
video/avi,860034378,9000560,759531
video/avi,860034378,9000560,759531
video/avi,286038398,3000040,757868
video/avi,284987226,2999840,755113
video/avi,281848510,3000040,746694
video/avi,281848510,3000040,746694
video/avi,306869336,3300040,739022
video/avi,306869336,3300040,739022
video/avi,303422348,3300040,730657
video/avi,303422348,3300040,730657
video/avi,275171006,3000040,728886
video/avi,275171006,3000040,728886
video/avi,269192126,3000080,712938
video/avi,269192126,3000080,712938
video/avi,294110886,3300320,708089
video/avi,294110886,3300320,708089
video/avi,264802604,2999760,701302
video/avi,264802604,2999760,701302
video/avi,260326228,2999800,689357
video/avi,260326228,2999800,689357
video/avi,258174914,3000200,683527
video/avi,258174914,3000200,683527
video/avi,271314110,3299960,652840
video/avi,271314110,3299960,652840
video/avi,239304622,3000080,633244
video/avi,239304622,3000080,633244
video/avi,238761210,3000040,631794
video/avi,238761210,3000040,631794
video/avi,237930844,3000080,629598
video/avi,237930844,3000080,629598
video/avi,237414084,2999960,628220
video/avi,237414084,2999960,628220
video/avi,237374556,2999840,628144
video/avi,237374556,2999840,628144
video/avi,258222696,3300120,621077
video/avi,258222696,3300120,621077
video/avi,230115032,3000080,608730
video/avi,230115032,3000080,608730
video/avi,251428600,3300560,604516
video/avi,251428600,3300560,604516
video/avi,498393832,6600160,599226
video/avi,498393832,6600160,599226
video/avi,226535038,3000080,599182
video/avi,226535038,3000080,599182
video/avi,247863646,3300080,595970
video/avi,222890240,2999880,589503
video/avi,222890240,2999880,589503
video/avi,222045494,2999880,587248
video/avi,222045494,2999880,587248
video/avi,244016264,3299880,586683
video/avi,244016264,3299880,586683
video/avi,210456012,2999760,556362
video/avi,210456012,2999760,556362
video/avi,210430100,3000240,556211
video/avi,210430100,3000240,556211
video/avi,209220882,3000080,553007
video/avi,209220882,3000080,553007
video/avi,206144030,3000400,544740
video/avi,206144030,3000400,544740
video/avi,200846638,3000120,530729
video/avi,200846638,3000120,530729
video/avi,198853816,3000320,525321
video/avi,198853816,3000320,525321
video/avi,216274526,3299880,519437
video/avi,216274526,3299880,519437
video/avi,196212240,3000040,518330
video/avi,196212240,3000040,518330
video/avi,194710370,3000080,514324
video/avi,194710370,3000080,514324
video/avi,194073684,3000120,512614
video/avi,194073684,3000120,512614
video/avi,193087968,3000000,510008
video/avi,193087968,3000000,510008
video/avi,188837046,3000040,498704
video/avi,188837046,3000040,498704
video/avi,185934438,3000080,490916
video/avi,185934438,3000080,490916
video/avi,203331184,3300120,488012
video/avi,203331184,3300120,488012
video/avi,330753578,5400000,485106
video/avi,183380026,3000040,484111
video/avi,183380026,3000040,484111
video/avi,201215894,3300320,482920
video/avi,201215894,3300320,482920
video/avi,199080296,3299960,477657
video/avi,180659050,2999880,476880
video/avi,180659050,2999880,476880
video/avi,198697080,3300080,476787
video/avi,198697080,3300080,476787
video/avi,178908404,2999880,472209
video/avi,178908404,2999880,472209
video/avi,195990196,3300040,470228
video/avi,195990196,3300040,470228
video/avi,177471274,2999840,468393
video/avi,177471274,2999840,468393
video/avi,177116314,2999880,467428
video/avi,177116314,2999880,467428
video/avi,176855570,3000520,466636
video/avi,176855570,3000520,466636
video/avi,176656988,3000080,466187
video/avi,176656988,3000080,466187
video/avi,174046264,3000040,459221
video/avi,174046264,3000040,459221
video/avi,173255244,2999920,457134
video/avi,173255244,2999920,457134
video/avi,172547916,3000000,455221
video/avi,172547916,3000000,455221
video/avi,188752428,3300040,452716
video/avi,188752428,3300040,452716
video/avi,170586358,2999800,450027
video/avi,170586358,2999800,450027
video/avi,185834812,3300080,445602
video/avi,185834812,3300080,445602
video/avi,168769080,3000040,445141
video/avi,168769080,3000040,445141
video/avi,168687674,2999880,444960
video/avi,168687674,2999880,444960
video/avi,168366040,2999800,444111
video/avi,168366040,2999800,444111
video/avi,184830544,3300600,443094
video/avi,184830544,3300600,443094
video/avi,167522496,2999880,441829
video/avi,167522496,2999880,441829
video/avi,166278494,3000600,438425
video/avi,166278494,3000600,438425
video/avi,165606930,3000120,436712
video/avi,165606930,3000120,436712
video/avi,164916422,3000040,434898
video/avi,164916422,3000040,434898
video/avi,163420666,3000040,430891
video/avi,163420666,3000040,430891
video/avi,175896870,3299840,421527
video/avi,175896870,3299840,421527
video/avi,157296238,2999800,414590
video/avi,157296238,2999800,414590
video/avi,188297284,3600160,413523
video/avi,156381352,3000000,412124
video/avi,156381352,3000000,412124
video/avi,155106366,3000000,408722
video/avi,155106366,3000000,408722
video/avi,153855956,3000000,405389
video/avi,153855956,3000000,405389
video/avi,153186166,3000080,403589
video/avi,153186166,3000080,403589
video/avi,153102304,2999920,403388
video/avi,153102304,2999920,403388
video/avi,153095004,3000040,403351
video/avi,153095004,3000040,403351
video/avi,168240438,3299960,402969
video/avi,168240438,3299960,402969
video/avi,152009552,2999880,400474
video/avi,152009552,2999880,400474
video/avi,166743736,3300080,399326
video/avi,166743736,3300080,399326
video/avi,165452520,3300120,396188
video/avi,165452520,3300120,396188
video/avi,148651332,3000000,391509
video/avi,148651332,3000000,391509
video/avi,148469592,3000000,391023
video/avi,148469592,3000000,391023
video/avi,148341394,3000200,390653
